N;POP;LG;LGF;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;LGM;LGS
71;313777;19852;19823;135;224;25;106;3;2;28;0;0;239;1588;1;17463;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;25;15
72;1315071;204937;203845;389;2605;644;39;109;345;187;3;0;2769;3681;2045;189971;70;18;139;677;51;8;57;10;5;21;0;0;0;2;0;837;353
73;1429232;209640;205339;191;634;717;44;96;0;0;0;10;967;4787;1005;196229;40;20;57;387;10;4;17;2;0;1;4;0;0;117;0;4225;323
74;1517472;220788;213474;1204;2141;531;142;116;81;39;0;0;4333;3194;1063;195631;2800;634;758;615;55;9;79;4;0;0;0;0;0;45;0;6935;804
75;1262549;240606;180981;1499;1477;441;84;72;874;59;54;34;2777;3473;1854;166199;1038;21;67;345;26;153;43;1;1;0;2;0;0;387;0;21528;40744
76;1405613;252453;251903;518;3158;601;113;115;494;84;36;0;3863;6852;2564;231376;0;0;804;1058;13;13;198;15;2;0;0;0;8;18;0;0;678
77;2557397;487875;483690;5362;5515;1299;249;453;181;224;555;2;2895;12746;513;447263;965;0;1;1276;135;23;198;51;4;3;2;0;0;3775;0;7530;1397
78;1191010;232934;231387;2175;4562;541;65;133;1116;3;9;0;5565;9681;407;204302;1644;30;303;380;1;2;29;3;1;0;0;5;9;421;0;1470;763
79;2331147;461748;454291;3651;5683;1648;331;806;2282;535;4;0;3383;25976;393;381805;1289;6;15762;8135;187;28;48;76;4;81;2;0;0;2175;1;11437;879
80;539985;39422;32508;0;311;160;9;1;49;5;1;0;103;141;361;31224;24;0;0;12;72;0;17;12;6;0;0;0;0;0;0;6917;16
81;1271629;247018;246002;539;2902;432;1045;99;355;102;1;0;3188;5351;992;224767;643;331;0;789;4;5;42;8;14;1;0;6;10;4375;1;2422;699
82;168368;24121;23851;130;411;8;11;15;7;0;120;0;51;612;40;22281;66;3;67;29;0;0;0;0;0;0;0;0;0;0;0;0;314
83;1087452;96493;95500;95;3772;167;82;67;32;5;0;37;4518;452;92;78528;0;0;7563;77;0;0;7;0;0;1;0;0;0;5;0;590;572
84;340000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;1900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
